section,name,source,split,kind,ai,tp,human,fp,ai_recall,human_fpr
MIXED TEST,Qwen3 LoRA · 86.4% cutoff,segment_qwen3_17b_mixed_stage1_v1_midpoint,test,trained,631,631,631,4,1.0,0.006339144215530904
MIXED TEST,Qwen3 LoRA · 3.7% cutoff,segment_qwen3_17b_mixed_stage1_v1,test,original,631,631,631,19,1.0,0.030110935023771792
MIXED TEST,Character TF-IDF · full,baseline_mixed_char_full,test,baseline,631,612,631,15,0.9698890649762282,0.02377179080824089
MIXED TEST,Character TF-IDF · medium,baseline_mixed_char_medium,test,baseline,631,601,631,13,0.9524564183835182,0.020602218700475437
MIXED TEST,Character TF-IDF · small,baseline_mixed_char_small,test,baseline,631,566,631,17,0.8969889064976229,0.02694136291600634
MIXED TEST,Character TF-IDF · tiny,baseline_mixed_char_tiny,test,baseline,631,424,631,8,0.6719492868462758,0.012678288431061807
MIXED TEST,Word TF-IDF · medium,baseline_mixed_word_medium,test,baseline,631,573,631,12,0.9080824088748018,0.01901743264659271
MIXED TEST,MiniLM embedding · medium,baseline_mixed_embedding_medium,test,baseline,631,191,631,9,0.30269413629160064,0.014263074484944533
MIXED TEST,Load-bearing PR style · frozen,baseline_mixed_load_bearing_full,test,baseline,631,48,631,11,0.07606973058637084,0.017432646592709985
MIXED TEST,EditLens RoBERTa,reference_mixed_roberta_full,test,reference,631,617,631,8,0.9778129952456418,0.012678288431061807
MIXED TEST,EditLens Llama,reference_mixed_llama_full,test,reference,631,629,631,16,0.9968304278922345,0.025356576862123614
PAPER ABSTRACT TEST,Qwen3 LoRA · 86.4% cutoff,segment_qwen3_17b_mixed_stage1_v1_midpoint,test:acl_anthology+pmc_oa,trained,221,221,221,2,1.0,0.00904977375565611
PAPER ABSTRACT TEST,Qwen3 LoRA · 3.7% cutoff,segment_qwen3_17b_mixed_stage1_v1,test:acl_anthology+pmc_oa,original,221,221,221,10,1.0,0.04524886877828054
PAPER ABSTRACT TEST,Character TF-IDF · full,baseline_paper_char_full,test,baseline,221,219,221,7,0.9909502262443439,0.03167420814479638
